ITEM_NUMBER,DESCRIPTION,SALES_UOM,PACK_CODE,CONVERSION_FACTOR,LENGTH,WIDTH,HEIGHT,UOM_WEIGHT
57000040,"URO    4,7/28",EA,NA,1,1.0,1.0,1.0,1
57000130,"URO    4,7/26 (UR)",EA,NA,1,1.0,1.0,1.0,1
57000140,"URO    4,7/28 (UR)",EA,NA,1,1.0,1.0,1.0,1
57010010,"URO    6,0/16",EA,NA,1,1.0,1.0,1.0,1
57010020,"URO    6,0/24",EA,NA,1,1.0,1.0,1.0,1
57010030,"URO    6,0/26",EA,NA,1,1.0,1.0,1.0,1
57010040,"URO    6,0/28",EA,NA,1,1.0,1.0,1.0,1
57014041,"ERS.URO 6,0/28/17-98",EA,NA,1,1.0,1.0,1.0,1
57020020,"URO    7,0/24",EA,NA,1,1.0,1.0,1.0,1
57020030,"URO    7,0/26",EA,NA,1,1.0,1.0,1.0,1
57020040,"URO    7,0/28",EA,NA,1,1.0,1.0,1.0,1
57024030,"ERS. URO 7,0 F - 26 CM",EA,NA,1,1.0,1.0,1.0,1
57030050,"URO    8,0/30",EA,NA,1,1.0,1.0,1.0,1
57120060,"URO-IO 6,0/32",EA,NA,1,1.0,1.0,1.0,1
57140040,"URO-IO 8,0/28",EA,NA,1,1.0,1.0,1.0,1
5714420,HemodialysisCatheter,CA,NA,5,1.0,1.0,1.0,1
57210010,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57210030,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57210040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57220050,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
5733191,HSPLIT IRC/TRC ST 19CM ST,EA,NA,1,1.0,1.0,1.0,1
5733231,HSPLIT IRC/TRC ST 23CM ST,EA,NA,1,1.0,1.0,1.0,1
5733271,HSPLIT IRC/TRC ST 27CM ST,EA,NA,1,1.0,1.0,1.0,1
5733311,HSPLIT IRC/TRC ST 31CM ST,EA,NA,1,1.0,1.0,1.0,1
5733351,HSPLIT IRC/TRC ST 35CM ST,EA,NA,1,1.0,1.0,1.0,1
5733421,HSPLIT IRC/TRC ST 42CM ST,EA,NA,1,1.0,1.0,1.0,1
5735191,HSPLIT IRC/TRC PC 19 CM ST,EA,NA,1,1.0,1.0,1.0,1
5735241,HSPLIT IRC/TRC PC 24CM ST,EA,NA,1,1.0,1.0,1.0,1
5735281,HSPLIT IRC/TRC PC 28CM ST,EA,NA,1,1.0,1.0,1.0,1
5735311,HSPLIT IRC/TRC PC 31CM ST,EA,NA,1,1.0,1.0,1.0,1
57400010,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57400040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410010,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410016,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410020,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410030,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410050,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57410060,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57414030,URO-PC 6.0/2C,EA,NA,1,1.0,1.0,1.0,1
57420016,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57420020,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57420030,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57420040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57420050,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57420060,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57424040,ERS URO-PC 7.0/28,EA,NA,1,1.0,1.0,1.0,1
57430030,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57430040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57430050,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57440020,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57440030,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57440040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
57510040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
5820222,Insuflation Tubing,CA,NA,10,1.0,1.0,1.0,1
5833191,HEMOSTAR IRC/TRC ST 19CM STD,EA,NA,1,1.0,1.0,1.0,1
5833231,HEMOSTAR IRC/TRC ST 23CM STD,EA,NA,1,1.0,1.0,1.0,1
5833271,HEMOSTAR IRC/TRC ST 27CM STD,EA,NA,1,1.0,1.0,1.0,1
5833311,HEMOSTAR IRC/TRC ST 31CM STD,EA,NA,1,1.0,1.0,1.0,1
5833313,"HSTARBIOBLOC,31CM,ST,14.5F,SUR",EA,PP,1,1.0,1.0,1.0,1
5833351,HEMOSTAR IRC/TRC ST 35CM STD,EA,NA,1,1.0,1.0,1.0,1
5833421,HEMOSTAR IRC/TRC ST 42CM STD,EA,NA,1,1.0,1.0,1.0,1
5835191,HEMOSTAR IRC/TRC PC 19CM STD,EA,NA,1,1.0,1.0,1.0,1
58370040,MBCS-URO   6/28,EA,NA,1,1.0,1.0,1.0,1
58491060,"V-S-URO-T  7,0/30",EA,NA,1,1.0,1.0,1.0,1
58500020,"E-URO    6,0/70",EA,NA,1,1.0,1.0,1.0,1
58500030,"E-URO    7,0/70",EA,NA,1,1.0,1.0,1.0,1
58500040,"E-URO    8,0/70",EA,NA,1,1.0,1.0,1.0,1
58520020,E-URO-PC 6.0/70,EA,NA,1,1.0,1.0,1.0,1
58520030,E-URO-PC 7.0/70,EA,NA,1,1.0,1.0,1.0,1
58520040,E-URO-PC 8.0/70,EA,NA,1,1.0,1.0,1.0,1
58533220,SUPSSOFTPC 6/7/24-32 3IN1,EA,NA,1,1.0,1.0,1.0,1
58561050,"SUPS-URO-PC 5/6,0/28",EA,NA,1,1.0,1.0,1.0,1
5860030,ROTATING LAP BLUNT DISS,EA,NC,1,1.0,1.0,1.0,1
5862110,10MM GLASSMAN W ROTATE,EA,NA,1,1.0,1.0,1.0,1
5883353,"HStar XK BioBloc, 35cm,ST, SUR",EA,NA,1,1.0,1.0,1.0,1
5914190,"EQ, XK, 19CM, ST, MI",EA,NA,1,1.0,1.0,1.0,1
5914230,"EQ, XK, 23CM, ST, MI",EA,NA,1,1.0,1.0,1.0,1
5914270,"EQ, XK, 27CM, ST, MI",EA,NA,1,1.0,1.0,1.0,1
5914310,"EQ, XK, 31CM, ST, MI",EA,NA,1,1.0,1.0,1.0,1
5915310,"EQ, XK, 31CM, ALPHA, STD",EA,NA,1,1.0,1.0,1.0,1
59220040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
59230040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
5923210,DecathlonDFOTW,EA,NA,1,1.0,1.0,1.0,1
5F050201C,RSVDLifestent5FVascularStent,EA,NA,1,1.0,1.0,1.0,1
5F050201CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050203C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050203CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050301C,RSVDLifestent5FVascularStent,EA,NA,1,1.0,1.0,1.0,1
5F050301CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050303C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050303CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050401C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050401CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050403C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050403CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050601C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050601CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050603C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050603CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050801C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050801CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F050803C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F050803CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F051001C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051001CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F051003C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051003CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F051201C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051201CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F051203C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051203CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F051501C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051501CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5F051503C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051701C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051701CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5F051703C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F051703CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5F060201C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060201CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060203C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060203CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060301C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060301CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060303C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060303CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060401C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060401CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060403C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060403CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060601C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060601CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060603C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060603CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060801C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060801CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F060803C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F060803CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061001C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061001CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061003C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061003CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061201C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061201CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061203C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061203CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061501C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061501CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061503C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061503CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F061701C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061701CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5F061703C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F061703CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5F070201C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070201CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070203C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070203CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070301C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070301CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070303C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070303CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070401C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070401CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070403C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070403CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070601C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070601CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070603C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070603CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070801C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070801CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F070803C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F070803CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071001C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071001CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071003C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071003CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071201C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071201CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071203C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071203CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071501C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071501CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071503C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071503CS,RSVDLifestent5FVasclrBiliaryUS,EA,NA,1,1.0,1.0,1.0,1
5F071701C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071701CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5F071703C,RSVDLifestent5FVascularOUS,EA,NA,1,1.0,1.0,1.0,1
5F071703CS,RSVDLifestent5FVascularUS,EA,NA,1,1.0,1.0,1.0,1
5FMC00006,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00014,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00019,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00052,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00123,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00218,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00223,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00327,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00349,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00365,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00397,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00431,DiagCathFixCrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00432,DiagCathFixCrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00434,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00435,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00442,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00448,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00450,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00453,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00454,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00473,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00476,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00497,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00498,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00499,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00512,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00515,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00521,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00555,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00561,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00562,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00569,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00571,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00587,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00613,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00627,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00628,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00632,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00638,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00645,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00655,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00694,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00750,DiagCathFixcrvWovBTOCble,EA,NA,1,1.0,1.0,1.0,1
5FMC00802,DiagCathFixCrvWovBTOCable,EA,NA,1,1.0,1.0,1.0,1
5FMC00819,DiagCathFixCrvWovBTOSurelink,EA,NA,1,1.0,1.0,1.0,1
5FMC00820,DiagCathFixCrvWovBTOSurelink,EA,NA,1,1.0,1.0,1.0,1
5FVS00084,DiagCathFixCrvPlasticBTOCable,EA,NA,1,1.0,1.0,1.0,1
5FVS00087,DiagCathFixCrvPlasticBTOCable,EA,NA,1,1.0,1.0,1.0,1
5FVS00088,DiagCathFixCrvPlasticBTOCable,EA,NA,1,1.0,1.0,1.0,1
5FXS00081,DiagCathFixcrvPlasBTOCble,EA,NA,1,1.0,1.0,1.0,1
5L,BARD URIPLAN LEG BAG 500L,CA,NA,10,1.0,1.0,1.0,1
5M,BARD URIPLAN LEG BAG 500M,CA,NA,10,1.0,1.0,1.0,1
5S,BARD URIPLAN LEG BAG 500S,CA,NA,10,1.0,1.0,1.0,1
600440,URETERAL CATH ADAPTER,CA,NA,1,1.0,1.0,1.0,1
601624,FFS LERMAN HEMO,CA,NA,12,1.0,1.0,1.0,1
60431010,P-URO    4/10,EA,NA,1,1.0,1.0,1.0,1
60431020,P-URO    4/12,EA,NA,1,1.0,1.0,1.0,1
60441020,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
60441030,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
60441040,UreteralStent,EA,NA,1,1.0,1.0,1.0,1
60522020,TumorStent,EA,NA,1,1.0,1.0,1.0,1
60522050,TumorStent,EA,NA,1,1.0,1.0,1.0,1
60522060,TumorStent,EA,NA,1,1.0,1.0,1.0,1
60523020,TumorStent,EA,NA,1,1.0,1.0,1.0,1
60523030,TumorStent,EA,NA,1,1.0,1.0,1.0,1
60600080,VES  8,EA,NA,1,1.0,1.0,1.0,1
60600120,VesicoSet,EA,NA,1,1.0,1.0,1.0,1
606012P,BX TWO WING MALECOT DRAIN,EA,NA,1,1.0,1.0,1.0,1
606016P,BX TWO WING MALECOT DRAIN,EA,NA,1,1.0,1.0,1.0,1
606020P,BX TWO WING MALECOT DRAIN,EA,NA,1,1.0,1.0,1.0,1
606024P,BX TWO WING MALECOT DRAIN,EA,NA,1,1.0,1.0,1.0,1
606028P,BX TWO WING MALECOT DRAIN,EA,NA,1,1.0,1.0,1.0,1
606032P,BX TWO WING MALECOT DRAIN,EA,NA,1,1.0,1.0,1.0,1
608007,AlbuminCoatedKnittedGraft,EA,NC,1,1.0,1.0,1.0,1
608008,AlbuminCoatedKnittedGraft,EA,NC,1,1.0,1.0,1.0,1
608010,ACG STR 10MM X 60CM,EA,NC,1,1.0,1.0,1.0,1
61260280,RD-S 28,EA,NA,1,1.0,1.0,1.0,1
61280010,TDK 8/80,EA,NA,1,1.0,1.0,1.0,1
61474010,URO MP-S 4 0/10/11-02,EA,NA,1,1.0,1.0,1.0,1
61475010,URO MP-S 4 7/10/ 01-03,EA,NA,1,1.0,1.0,1.0,1
61476010,URO MP-S 6 0/14/ 02-00,EA,NA,1,1.0,1.0,1.0,1
61476020,"URO MP-S 6,0/16/ 02-00",EA,NA,1,1.0,1.0,1.0,1
61478140,URO MP-S 8 0/28/ 02-00,EA,NA,1,1.0,1.0,1.0,1
61479140,URO MP-S 10 0/28/ 02-00,EA,NA,1,1.0,1.0,1.0,1
61560020,SUSS 7/26/7,EA,NA,1,1.0,1.0,1.0,1
61560130,SUSS 7/28/9,EA,NA,1,1.0,1.0,1.0,1
61570020,SUSS 8/26/7,EA,NA,1,1.0,1.0,1.0,1
61570120,SUSS 8/28/7,EA,NA,1,1.0,1.0,1.0,1
61610SPL,IntermitHydrSilDisSmpl61610SPL,CA,NA,15,1.0,1.0,1.0,1
61612SPL,InterHydroSILDscrtSmpl61612SPl,CA,NA,15,1.0,1.0,1.0,1
61614SPL,IntermitHydrSilDisSmpl61614SPL,CA,NA,15,1.0,1.0,1.0,1
61616SPL,IntermitHydrSilDisSmpl61616SPL,CA,NA,15,1.0,1.0,1.0,1
62000010,HP,EA,NA,1,1.0,1.0,1.0,1
6210006,STINGER 115CM F CURVE,EA,NA,1,1.0,1.0,1.0,1
6210060A,Reserved for GF 2/3/04,EA,NA,1,1.0,1.0,1.0,1
62410300,S-OG-FD 6/0,EA,NA,1,1.0,1.0,1.0,1
62450000,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
62450010,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
62450110,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
62450210,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
62450300,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
62450310,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
63120020,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
63500010,UreteralCatheter,EA,NA,1,1.0,1.0,1.0,1
64050010,FixationDisk,EA,NA,1,1.0,1.0,1.0,1
64050020,FixationDisk,EA,NA,1,1.0,1.0,1.0,1
64100020,UKV-W,EA,NC,1,1.0,1.0,1.0,1
64100050,UKV-TK,EA,NC,1,1.0,1.0,1.0,1
64200010,UAR-TK 10,EA,NC,1,1.0,1.0,1.0,1
64200020,UAR-2/WH,EA,NC,1,1.0,1.0,1.0,1
64230020,UAM-T -25,EA,NC,1,1.0,1.0,1.0,1
64230029,UAM-TK-O/35-88,EA,NC,1,1.0,1.0,1.0,1
64230030,UAM-TK 5CM,EA,NA,1,1.0,1.0,1.0,1
64230031,UAM-TK -10,EA,NC,1,1.0,1.0,1.0,1
64520020,IUC   16/30,EA,NA,1,1.0,1.0,1.0,1
64520030,IUC   16/35,EA,NA,1,1.0,1.0,1.0,1
64520040,IUC   16/40,EA,NA,1,1.0,1.0,1.0,1
64520050,IUC   16/45,EA,NA,1,1.0,1.0,1.0,1
64520060,IUC   16/50,EA,NA,1,1.0,1.0,1.0,1
64520080,IUC   16/60,EA,NA,1,1.0,1.0,1.0,1
64530050,IUC   18/45,EA,NA,1,1.0,1.0,1.0,1
64530070,IUC   18/55,EA,NA,1,1.0,1.0,1.0,1
64P004,QUADPUL 200CM RF REDEL 10,EA,NA,1,1.0,1.0,1.0,1
64P1003,"QP CABLE, RF, PWR REDEL 10 PIN",EA,NA,1,1.0,1.0,1.0,1
64P1004,"QP CABLE, RF, PWR REDEL 10 PIN",EA,NA,1,1.0,1.0,1.0,1
64P2003,"QP CABLE, RF, PWR REDEL 2 PIN",EA,NA,1,1.0,1.0,1.0,1
64P2004,"QP CABLE, RF, PWR REDEL 2 PIN",EA,NA,1,1.0,1.0,1.0,1
64P4004,"QP CABLE, REF, DUAL 300CM",EA,NA,1,1.0,1.0,1.0,1
64P6000,QUADRAPULSE RF CONTROLLER,EA,NA,1,1.0,1.0,1.0,1
64P7000,MEDUSA  IDE,EA,NA,1,1.0,1.0,1.0,1
